year,month,item,category,city,price
2023,3,mustard oil (average quality),SPI Items,Hyderabad,532.85
2023,3,mustard oil (average quality),SPI Items,Sukkur,458.86
2023,3,mustard oil (average quality),SPI Items,Larkana,555.78
2023,3,mustard oil (average quality),SPI Items,Peshawar,656.2
2023,3,mustard oil (average quality),SPI Items,Bannu,554.56
2023,3,mustard oil (average quality),SPI Items,Quetta,577.75
2023,3,mustard oil (average quality),SPI Items,Khuzdar,606.59
2023,3,cooking oil dalda or other similar b,SPI Items,Gujranwala,3290.16
2023,3,cooking oil dalda or other similar b,SPI Items,Sialkot,3169.44
2023,3,cooking oil dalda or other similar b,SPI Items,Lahore,3349.64
2023,3,cooking oil dalda or other similar b,SPI Items,Faisalabad,3441.85
2023,3,cooking oil dalda or other similar b,SPI Items,Sargodha,3510.0
2023,3,cooking oil dalda or other similar b,SPI Items,Multan,3399.4
2023,3,cooking oil dalda or other similar b,SPI Items,Bahawalpur,3359.98
2023,3,cooking oil dalda or other similar b,SPI Items,Karachi,3366.63
2023,3,cooking oil dalda or other similar b,SPI Items,Hyderabad,3373.03
2023,3,cooking oil dalda or other similar b,SPI Items,Sukkur,3090.15
2023,3,cooking oil dalda or other similar b,SPI Items,Larkana,3175.0
2023,3,cooking oil dalda or other similar b,SPI Items,Peshawar,3388.51
2023,3,cooking oil dalda or other similar b,SPI Items,Bannu,3116.58
2023,3,cooking oil dalda or other similar b,SPI Items,Quetta,3274.1
2023,3,cooking oil dalda or other similar b,SPI Items,Khuzdar,3400.0
2023,3,vegetable ghee dalda/habib 2.5 kg,SPI Items,Islamabad,1569.81
2023,3,vegetable ghee dalda/habib 2.5 kg,SPI Items,Rawalpindi,1569.81
2023,3,vegetable ghee dalda/habib 2.5 kg,SPI Items,Gujranwala,1547.5
2023,3,vegetable ghee dalda/habib 2.5 kg,SPI Items,Sialkot,1442.65
2023,3,vegetable ghee dalda/habib 2.5 kg,SPI Items,Lahore,1579.81
2023,3,vegetable ghee dalda/habib 2.5 kg,SPI Items,Faisalabad,1589.87
2023,3,vegetable ghee dalda/habib 2.5 kg,SPI Items,Sargodha,1620.91
2023,3,vegetable ghee dalda/habib 2.5 kg,SPI Items,Multan,1590.08
2023,3,vegetable ghee dalda/habib 2.5 kg,SPI Items,Bahawalpur,1587.3
2023,3,vegetable ghee dalda/habib 2.5 kg,SPI Items,Karachi,1584.79
2023,3,vegetable ghee dalda/habib 2.5 kg,SPI Items,Hyderabad,1579.81
2023,3,vegetable ghee dalda/habib 2.5 kg,SPI Items,Sukkur,1573.35
2023,3,vegetable ghee dalda/habib 2.5 kg,SPI Items,Larkana,1457.74
2023,3,vegetable ghee dalda/habib 2.5 kg,SPI Items,Peshawar,1565.73
2023,3,vegetable ghee dalda/habib 2.5 kg,SPI Items,Bannu,1384.95
2023,3,vegetable ghee dalda/habib 2.5 kg,SPI Items,Quetta,1543.53
2023,3,vegetable ghee dalda/habib 2.5 kg,SPI Items,Khuzdar,1570.0
2023,3,vegetable ghee dalda/habib or oth,SPI Items,Sialkot,612.92
2023,3,vegetable ghee dalda/habib or oth,SPI Items,Lahore,623.6
2023,3,vegetable ghee dalda/habib or oth,SPI Items,Faisalabad,629.26
2023,3,vegetable ghee dalda/habib or oth,SPI Items,Sargodha,618.38
2023,3,vegetable ghee dalda/habib or oth,SPI Items,Multan,625.18
2023,3,vegetable ghee dalda/habib or oth,SPI Items,Bahawalpur,620.95
2023,3,vegetable ghee dalda/habib or oth,SPI Items,Karachi,614.41
2023,3,vegetable ghee dalda/habib or oth,SPI Items,Hyderabad,620.12
2023,3,vegetable ghee dalda/habib or oth,SPI Items,Sukkur,614.67
2023,3,vegetable ghee dalda/habib or oth,SPI Items,Larkana,586.82
2023,3,vegetable ghee dalda/habib or oth,SPI Items,Peshawar,632.05
2023,3,vegetable ghee dalda/habib or oth,SPI Items,Bannu,570.0
2023,3,vegetable ghee dalda/habib or oth,SPI Items,Quetta,616.92
2023,3,vegetable ghee dalda/habib or oth,SPI Items,Khuzdar,625.0
2023,3,bananas (kela) local,SPI Items,Islamabad,339.31
